Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Sidler,Jakob,Mitte,04i,"Ich stehe ein für eine eigenverantwortliche, friedliebende Gesellschaft mit gesunden Menschenverstand. Ich lehne mich auf gegen überbordende Bürokratie und Kontrollwahn.","Die grösste Herausforderung ist die Balance zu finden zwischen Umwelt und Mensch. Es muss uns gelingen den Fussabdruck jedes einzelnen massiv zu reduzieren, ohne Lebensqualität zu verlieren. Technik allein wird dieses Problem nicht lösen. Veränderung zulassen und Demut zu leben sind genauso wichtig.","Ich stehe ein, für einen innovativen Kanton der sich in vielen Bereichen wesentlich für das Wohl der Schweiz verantwortlich zeigt. Ich will diese Stellung weiter ausbauen.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Donat,Dominik,Mitte,04i,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Umbricht,Pirmin,Mitte,04i,"Aus neugierde und weil mich die nationale Politik intressiert und reizt. Auf der Liste 4i - Miteinander für Land- und Ernährungswirtschaft, da liegen auch meine Stärken. - Zuhören und miteinander Lösungen finden, so sollte Politik gelebt werden.  - Open minded - aufgeschlossen politisieren.","Aus meiner Sicht gibt es genügend Themen die aktuell sind ;-). Wichtiger als das Thema ansich finde ich, dass man sich «schlau macht» = wissen um was es geht. Und mit diesem Wissen Lösungen erarbeiten.",Ich würde eher für unser Land und die Mitmenschen einstehen - was erreichen wollen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pfister,Meinrad,Mitte,04i,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sekinger,Bruno,Mitte,04i,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rüttimann,Nik,Mitte,04i,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Basler,Roland,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Basler,Natascha,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Zimmerli,Raphael,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Klossner,Rudolf,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Graf,Michèle,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ramseyer,Thomas,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Szedlak-Hagmann,Stéphanie,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gräub,Beat,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jordi,Irma,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Affentranger,Franz,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
